Title,Author,Publish Year,Editions,Rating
The Pillars of the Earth,Ken Follett,1989,110 editions,4.2 (65 ratings)
Angels & Demons,Dan Brown,2000,168 editions,3.6 (247 ratings)
The Da Vinci Code,Dan Brown,2003,197 editions,3.9 (169 ratings)
The Lost Symbol,Dan Brown,2009,120 editions,3.6 (95 ratings)
Misery,Stephen King,1978,99 editions,4.1 (126 ratings)
It,Stephen King,1986,95 editions,4.1 (470 ratings)
The Dark Tower: The Gunslinger,Stephen King,1976,94 editions,4.0 (55 ratings)
Deception Point,Dan Brown,2001,92 editions,3.3 (103 ratings)
Pet Sematary,Stephen King,1983,91 editions,4.1 (168 ratings)
The Dead Zone,Stephen King,1979,88 editions,4.1 (43 ratings)
DIGITAL FORTRESS,Dan Brown,1998,84 editions,3.5 (35 ratings)
The Stand,Stephen King,1978,83 editions,4.3 (82 ratings)
A Time to Kill,John Grisham,1989,79 editions,3.8 (24 ratings)
The Lost World,Michael Crichton,1995,78 editions,4.3 (21 ratings)
Bag of Bones,Stephen King,1998,75 editions,3.9 (33 ratings)
Wizard and Glass,Stephen King,1997,71 editions,4.1 (70 ratings)
The Waste Lands: The Dark Tower III,Stephen King,1991,70 editions,4.2 (78 ratings)
The Girl Who Loved Tom Gordon,Stephen King,1999,70 editions,3.7 (29 ratings)
Red Dragon,Thomas Harris,1981,60 editions,4.3 (34 ratings)
The Street Lawyer,John Grisham,1989,59 editions,3.9 (16 ratings)
